locus_id,variable,value,gene_tag,gene_name,cond,rep,ccm_gene
HNEAP_RS00340,5% CO2,-0.0774167275710225,other,,5% CO2,0,False
HNEAP_RS00345,5% CO2,-0.207864120142446,other,,5% CO2,0,False
HNEAP_RS00350,5% CO2,-0.145540455793918,other,,5% CO2,0,False
HNEAP_RS00355,5% CO2,-0.0300217524196602,other,,5% CO2,0,False
HNEAP_RS00360,5% CO2,-0.192744341665103,other,,5% CO2,0,False
HNEAP_RS00365,5% CO2,-0.290245640737634,other,,5% CO2,0,False
HNEAP_RS00370,5% CO2,0.0450338073543967,other,,5% CO2,0,False
HNEAP_RS00375,5% CO2,,other,,5% CO2,0,False
HNEAP_RS00380,5% CO2,-0.154022302569769,other,,5% CO2,0,False
HNEAP_RS00385,5% CO2,0.05662471479096499,other,,5% CO2,0,False
HNEAP_RS00390,5% CO2,-0.187290999463959,other,,5% CO2,0,False
HNEAP_RS00395,5% CO2,-0.24366765447668806,other,,5% CO2,0,False
HNEAP_RS00400,5% CO2,0.413180225397538,other,,5% CO2,0,False
HNEAP_RS00405,5% CO2,0.116510919375322,other,,5% CO2,0,False
HNEAP_RS00410,5% CO2,-0.23813717863038894,other,,5% CO2,0,False
HNEAP_RS00415,5% CO2,-0.0568545474143745,other,,5% CO2,0,False
HNEAP_RS00420,5% CO2,-0.215661340514022,other,,5% CO2,0,False
HNEAP_RS00435,5% CO2,0.102671661290002,other,,5% CO2,0,False
HNEAP_RS00440,5% CO2,,other,,5% CO2,0,False
HNEAP_RS00445,5% CO2,-0.045104047972757993,other,,5% CO2,0,False
HNEAP_RS00450,5% CO2,0.0924677087978139,other,,5% CO2,0,False
HNEAP_RS00455,5% CO2,0.222235883627595,other,,5% CO2,0,False
HNEAP_RS00460,5% CO2,-0.419793788512585,other,,5% CO2,0,False
HNEAP_RS00465,5% CO2,-0.19903797784736,other,,5% CO2,0,False
HNEAP_RS00470,5% CO2,0.0192872962373765,other,,5% CO2,0,False
HNEAP_RS00480,5% CO2,-0.183478403641302,other,,5% CO2,0,False
HNEAP_RS00485,5% CO2,-0.0701683733774979,other,,5% CO2,0,False
HNEAP_RS00490,5% CO2,-0.429884373796846,other,,5% CO2,0,False
HNEAP_RS00510,5% CO2,-0.0330474163317346,other,,5% CO2,0,False
HNEAP_RS00515,5% CO2,,other,,5% CO2,0,False
HNEAP_RS00565,5% CO2,-0.3039631984154311,other,,5% CO2,0,False
HNEAP_RS00575,5% CO2,-0.355775593067278,other,,5% CO2,0,False
HNEAP_RS00580,5% CO2,-0.483056436722171,other,,5% CO2,0,False
HNEAP_RS00585,5% CO2,-0.29622051905353003,other,,5% CO2,0,False
HNEAP_RS00590,5% CO2,-0.378404140454576,other,,5% CO2,0,False
HNEAP_RS00595,5% CO2,-0.0955815297852656,other,,5% CO2,0,False
HNEAP_RS00605,5% CO2,-0.175199107726003,other,,5% CO2,0,False
HNEAP_RS00610,5% CO2,-0.0476733897869003,other,,5% CO2,0,False
HNEAP_RS00615,5% CO2,0.00073570784595578,other,,5% CO2,0,False
HNEAP_RS00620,5% CO2,-0.0077016685021134,other,,5% CO2,0,False
HNEAP_RS00635,5% CO2,0.0411967033222494,other,,5% CO2,0,False
HNEAP_RS00640,5% CO2,-0.277446728323893,other,,5% CO2,0,False
HNEAP_RS00645,5% CO2,-0.0119170995552232,other,,5% CO2,0,False
HNEAP_RS00650,5% CO2,-0.14253792209544902,other,,5% CO2,0,False
HNEAP_RS00655,5% CO2,-0.277910134023208,other,,5% CO2,0,False
HNEAP_RS00660,5% CO2,-0.0113570889802093,other,,5% CO2,0,False
HNEAP_RS00665,5% CO2,-0.115024416341166,other,,5% CO2,0,False
HNEAP_RS00670,5% CO2,-0.0460129144268793,other,,5% CO2,0,False
HNEAP_RS00675,5% CO2,0.0501972584537506,other,,5% CO2,0,False
HNEAP_RS00680,5% CO2,-0.0040689439539317,other,,5% CO2,0,False
HNEAP_RS00685,5% CO2,0.0445737337958362,other,,5% CO2,0,False
HNEAP_RS00690,5% CO2,-0.0847503811026162,other,,5% CO2,0,False
HNEAP_RS00705,5% CO2,0.280726331679215,other,,5% CO2,0,False
HNEAP_RS00710,5% CO2,0.00786644416314924,other,,5% CO2,0,False
HNEAP_RS00715,5% CO2,-0.0597035924740875,other,,5% CO2,0,False
HNEAP_RS00720,5% CO2,-0.0841539830407931,other,,5% CO2,0,False
HNEAP_RS00725,5% CO2,0.00137872576281184,other,,5% CO2,0,False
HNEAP_RS00730,5% CO2,-0.144852543482019,other,,5% CO2,0,False
HNEAP_RS00735,5% CO2,0.15050795447708898,other,,5% CO2,0,False
HNEAP_RS00740,5% CO2,-0.100434761803691,other,,5% CO2,0,False
HNEAP_RS00745,5% CO2,0.104172019261464,other,,5% CO2,0,False
HNEAP_RS00750,5% CO2,0.129338930312549,other,,5% CO2,0,False
HNEAP_RS00760,5% CO2,0.110653316290848,other,,5% CO2,0,False
HNEAP_RS00765,5% CO2,0.00449811290107416,other,,5% CO2,0,False
HNEAP_RS00770,5% CO2,-0.246364816214969,other,,5% CO2,0,False
HNEAP_RS00775,5% CO2,-0.11103911473273,other,,5% CO2,0,False
HNEAP_RS00795,5% CO2,-0.196288296142043,other,,5% CO2,0,False
HNEAP_RS00800,5% CO2,0.0486045920473249,other,,5% CO2,0,False
HNEAP_RS00810,5% CO2,0.0316018268889783,other,,5% CO2,0,False
HNEAP_RS00815,5% CO2,0.306288245345359,other,,5% CO2,0,False
HNEAP_RS00820,5% CO2,0.0869966617441076,other,,5% CO2,0,False
HNEAP_RS00825,5% CO2,0.0983050437582919,other,,5% CO2,0,False
HNEAP_RS00830,5% CO2,-0.194898360455656,other,,5% CO2,0,False
HNEAP_RS00835,5% CO2,-0.11210281017678997,other,,5% CO2,0,False
HNEAP_RS00840,5% CO2,-0.0291755067815715,other,,5% CO2,0,False
HNEAP_RS00845,5% CO2,-0.0778853477031856,other,,5% CO2,0,False
HNEAP_RS00850,5% CO2,-0.0488241881330541,other,,5% CO2,0,False
HNEAP_RS00855,5% CO2,-0.0708976949589303,other,,5% CO2,0,False
HNEAP_RS00865,5% CO2,-1.35214502959737,other,,5% CO2,0,False
HNEAP_RS00875,5% CO2,-0.0525529227483001,other,,5% CO2,0,False
HNEAP_RS00880,5% CO2,-0.17928963759536198,other,,5% CO2,0,False
HNEAP_RS00885,5% CO2,0.157180702100461,other,,5% CO2,0,False
HNEAP_RS00890,5% CO2,-0.28037126955472,other,,5% CO2,0,False
HNEAP_RS00895,5% CO2,-2.19167256971186,other,,5% CO2,0,False
HNEAP_RS00900,5% CO2,-1.77461714174016,other,,5% CO2,0,False
HNEAP_RS00905,5% CO2,-1.2760366112448602,other,,5% CO2,0,False
HNEAP_RS00910,5% CO2,-2.45734537673555,other,,5% CO2,0,False
HNEAP_RS00915,5% CO2,-1.78920764025052,other,,5% CO2,0,False
HNEAP_RS00920,5% CO2,-1.10517950894526,other,,5% CO2,0,False
HNEAP_RS00925,5% CO2,0.31245438009570004,other,,5% CO2,0,False
HNEAP_RS00930,5% CO2,0.20817805708937895,other,,5% CO2,0,False
HNEAP_RS00935,5% CO2,0.0042774439241299285,other,,5% CO2,0,False
HNEAP_RS00940,5% CO2,-0.013483724717746998,other,,5% CO2,0,False
HNEAP_RS00945,5% CO2,0.131934320901604,other,,5% CO2,0,False
HNEAP_RS00950,5% CO2,0.0693118525261857,other,,5% CO2,0,False
HNEAP_RS00955,5% CO2,-0.0415880202340358,other,,5% CO2,0,False
HNEAP_RS00960,5% CO2,0.0133277646833053,other,,5% CO2,0,False
HNEAP_RS00965,5% CO2,0.13686074620001298,other,,5% CO2,0,False
HNEAP_RS00970,5% CO2,0.00401167549660325,other,,5% CO2,0,False
HNEAP_RS00980,5% CO2,0.201248260318918,other,,5% CO2,0,False
HNEAP_RS00990,5% CO2,0.571627365478737,other,,5% CO2,0,False
HNEAP_RS00995,5% CO2,0.0892814435950098,other,,5% CO2,0,False
HNEAP_RS01000,5% CO2,0.0592231943832257,other,,5% CO2,0,False
HNEAP_RS01005,5% CO2,-0.0198911758490213,other,,5% CO2,0,False
HNEAP_RS01010,5% CO2,-0.015460673165045,other,,5% CO2,0,False
HNEAP_RS01015,5% CO2,-0.07416832939616,other,,5% CO2,0,False
HNEAP_RS01025,5% CO2,-0.182509086563588,other,,5% CO2,0,False
HNEAP_RS01030,5% CO2,-0.0094012253760612,transport,DAB2B,5% CO2,0,True
HNEAP_RS01035,5% CO2,0.0526844548383671,transport,DAB2A,5% CO2,0,True
HNEAP_RS01040,5% CO2,0.10418028494786698,regulation,LysR DAB2,5% CO2,0,True
HNEAP_RS01045,5% CO2,-0.117097597118358,other,,5% CO2,0,False
HNEAP_RS01050,5% CO2,-0.0334655781938512,other,,5% CO2,0,False
HNEAP_RS01055,5% CO2,0.16171444672042598,other,,5% CO2,0,False
HNEAP_RS01060,5% CO2,-0.0232476210049993,other,,5% CO2,0,False
HNEAP_RS01065,5% CO2,-0.0178078327354856,other,,5% CO2,0,False
HNEAP_RS01070,5% CO2,0.0131322354005183,other,,5% CO2,0,False
