locus_id,5% CO2,ambient CO2,5% CO2,ambient CO2,0.5% CO2,10% CO2,0.5% CO2,10% CO2,1.5% CO2,5% CO2,1.5% CO2,5% CO2
GFF1190,-0.0004017914542436,0.0216269714016806,-0.00193199708677917,0.0763927207086944,-0.0629724960329333,-0.0441066485375491,-0.0975974757190218,-0.11415944141756501,0.0392180495063879,0.0224322161832821,0.0037038344124324897,-0.0272519297386055
GFF1209,0.222629264656214,-0.11764871646245402,-0.130837392179166,-0.0470108271150493,-0.0877606436565194,-0.13419334607500502,0.15455954183111498,-0.0382791395150936,0.16840221244821202,0.0698377324332985,0.22784990056725699,-0.0373948625768399
GFF1357,-0.6127006830301229,-0.34418730649512397,-0.504752910110622,-0.31518887655599603,-1.17406383167031,-0.906336701064139,-1.2030534977435199,-0.942894314871047,-1.1339417549908402,-1.03305310963186,-1.0310728175537098,-1.22032282348152
GFF1439,-0.277287534082194,-0.268327261102026,-0.234943565162585,-0.29041082154672904,0.117596354900033,-0.00721189094595293,0.22960386845921602,0.198247854855403,-0.147150518912456,-0.0799033495152317,-0.161342944056191,-0.11044183627956401
GFF1496,0.676933979427658,0.32085883582756297,0.515598511329987,0.18941635453242398,-0.795917998255167,-0.274586872715489,-0.36484901915524,-0.181125824961381,0.111387603618585,-0.022535819662262997,-0.0531795290028024,-0.0288392175686979
GFF160,0.0910694034686688,-0.0254828603679283,0.031737946637975,-0.0427606547603485,-0.00785957151071853,0.0440152898170814,0.0400400478139772,0.0251427809530905,0.0248242042275642,0.0158030641077127,-0.0179779445518067,-0.0464571555315406
GFF1606,0.173185322457401,0.106927655899116,0.0143100326650428,-0.16523745170475398,-0.0227613670848054,-0.136896526236692,0.162757684399067,0.23678075221142703,-0.0414199480791847,0.00371487016238661,-0.00552745435155189,-0.0175797802576826
GFF1629,-0.0336537304099009,0.12933274049680699,0.21459529484793696,0.16359695398935198,-0.0185081204557042,-0.0397112911374597,-0.0451328932428162,0.107006997865651,0.237303366784393,0.119757875915095,0.0820308285005333,0.18031155472528196
GFF1704,0.0128792177937121,0.0170337874019987,0.05033696548142,0.0290741425378529,0.115244241734599,0.16556048004918397,0.0350338935256596,-0.0496415096256588,0.0997145247776536,0.23168899602038,0.0641112125706322,0.100137145384935
GFF1835,0.039589210600952,-0.0579922271535351,-0.0398248363332151,-0.0256688648323824,-0.19574946029117202,-0.22686961625304897,-0.0422103686665459,0.0551354690696982,-0.12646556541685902,-0.04107452476955101,-0.0720571388224623,-0.157337920792639
GFF2046,-0.345332748775057,-0.0352026322434932,0.00205037658000014,0.12980409931335,0.0922585005051056,0.0944701997876646,0.239326041399755,0.0616810213013196,0.124527322857233,0.102402554231715,-0.108409297451756,-0.141311152735258
GFF2212,-0.132573891494812,-0.0331960022172963,0.00738558403171402,0.0729432491584861,0.0288849225074276,0.0434265736199561,-0.0861413748560323,-0.012016623826393001,-0.0794154660593507,-0.0709701746887561,-0.0686267255767891,0.0986968840734466
GFF2252,0.00143088097866506,-0.100853320166563,-0.00939998693937022,-0.0302703712342507,0.0243843259814064,0.0393647602275848,0.0617645405335537,0.0539105436450206,0.0110716300715788,0.0854594590067712,0.118870893174914,0.0841569846225405
GFF2279,-0.0249186456836709,-0.0432392906959749,0.0704443805388952,0.191248911145565,0.00711053908643738,-0.0548461646503579,0.3297135469351731,0.20752673027968102,0.0204398032425284,0.0412194253265664,-0.011805197941273002,0.0680822091305647
GFF2280,0.049329632200154995,0.0373434923872929,0.024775170323052997,-0.0202002195458713,-0.132250743340371,-0.0811569060113018,0.0168525079006685,-0.222143707122279,-0.0570410457446704,-0.0471775120848205,-0.0387155095866999,-0.00654831049213511
GFF365,-0.163983534169589,0.0192155327190527,0.0334333950043571,-0.0202002195458713,0.0446437731596197,-0.0342010578884102,-0.11470597134170699,-0.127474435181707,-0.0643522996280033,-0.021605363258692004,-0.0561569996938964,-0.0531765143557254
GFF366,0.169665222741009,0.0249520290358859,0.0639967458085996,0.21570276828310103,0.0781759477246626,-0.0823456197135508,-0.0229746794733624,-0.00822366174686245,0.12013690721732302,0.10896155731001901,9.8898548315407e-05,0.0959226794774922
GFF371,0.0436900983356619,0.130196826027909,0.171451273491578,0.119453233841297,0.0823158201433352,-0.0227927667219499,-0.11332986384096601,-0.165492024012207,0.10152906465223599,-0.0858186473836097,-0.0640773086059431,0.00698548817907235
GFF455,0.0358638917519157,-0.0368777398123494,-0.0267769949730532,0.00411322347642644,0.21480197952823601,0.10503802952081699,-0.0528020276402018,-0.11425115203206401,0.133548634020627,0.22916593387699696,-0.0370689568032722,-0.0960322905438238
GFF511,0.7126720823805509,0.44351569915239,0.940687019589897,0.674997042571074,1.6225987321356699,1.2482030933480701,1.4838321484622699,1.16412241876318,0.5914147827095141,0.4881773126792461,0.528245630348798,0.49832200470632104
GFF559,0.21142008650469396,0.0660988079630843,0.0749656610505726,0.15658274664681102,0.32035722784062,0.512961479464098,0.251333015060731,0.305597460689222,0.10976138699761599,0.29740654193300997,-0.31085891623769896,-0.0294272422477784
GFF718,0.014599224799301,-0.0665959356822579,-0.011781018382604,-0.15414370604966401,0.7029044778018629,0.7221463368243359,0.679101795139333,0.6890164639758011,-0.147105155359724,-0.165352393411637,-0.000730988279709854,0.00477551800741594
GFF782,0.0205380408491677,0.0315727094468403,-0.0271140378918042,-0.0202002195458713,0.125766360665506,0.130337410183699,0.0476087696948172,0.0309786656399252,0.143124935168624,0.14801512302333802,0.135476127642924,0.128950326632973
